Year	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Score	College_ID
2017	6.3	5.3	TRUE	11.6	0.8991629529228945	25
2017	5.4	5.1	FALSE	10.5	0.3154967992916832	16
2017	4.9	5.5	FALSE	10.4	0.26243623987066417	5
2017	6.1	5.3	FALSE	11.399999999999999	0.7930418340808555	9
2017	5.4	4.7	FALSE	10.100000000000001	0.10325456160760707	25
2017	4.7	4.9	FALSE	9.600000000000001	-0.16204823549748906	12
2017	7.4	5.7	TRUE	13.100000000000001	1.695071344238184	11
2017	5.6	5.3	FALSE	10.899999999999999	0.5277390369757594	16
2017	6.1	6.7	TRUE	12.8	1.5358896659751258	6
2017	3.8	4.9	FALSE	8.7	-0.6395932702866632	20
2017	5.6	4.3	FALSE	9.899999999999999	-0.002866557234432892	4
2017	6.6	8	TRUE	14.6	2.4909797355534713	5
2017	4.9	3.7	FALSE	8.600000000000001	-0.6926538297076813	12
2017	7.4	7.1	TRUE	14.5	2.437919176132452	12
2017	4.9	5.5	TRUE	10.4	0.26243623987066417	17
2017	5.9	4.9	TRUE	10.8	0.4746784775547413	7
2017	5.2	4.5	FALSE	9.7	-0.10898767607647097	20
2017	5.6	5.5	FALSE	11.1	0.6338601558177984	6
2017	5.9	6.5	TRUE	12.4	1.3236474282910486	26
2017	5.4	5.3	FALSE	10.7	0.4216179181337213	9
2017	4.7	3.2	FALSE	7.9	-1.0640777456548165	5
2017	6.3	5.5	TRUE	11.8	1.0052840717649336	6
2017	4.5	4.9	FALSE	9.4	-0.2681693543395281	5
2017	6.1	4.9	TRUE	11	0.5807995963967794	6
2017	3.3	4.9	FALSE	8.2	-0.9048960673917593	27
2017	6.3	4.5	FALSE	10.8	0.4746784775547413	12
2017	5.9	5.3	FALSE	11.2	0.6869207152388175	20
2017	3.8	5.1	FALSE	8.899999999999999	-0.5334721514446251	15
2017	5.2	4.3	FALSE	9.5	-0.21510879491850904	1
2017	4.5	4.5	FALSE	9	-0.48041159202360517	12
2017	4.5	6	FALSE	10.5	0.3154967992916832	9
2017	7.1	6.5	TRUE	13.6	1.9603741413432791	1
2017	5.2	6.5	TRUE	11.7	0.9522235123439136	9
2017	4	5.5	FALSE	9.5	-0.21510879491850904	20
2017	6.1	5.7	FALSE	11.8	1.0052840717649336	4
2017	6.3	5.1	TRUE	11.399999999999999	0.7930418340808555	17
2017	4	4.7	FALSE	8.7	-0.6395932702866632	12
2017	4.5	5.1	FALSE	9.6	-0.16204823549749	10
2017	4.9	3.9	FALSE	8.8	-0.5865327108656433	26
2017	6.1	6.7	TRUE	12.8	1.5358896659751258	12
2017	4	3.7	FALSE	7.7	-1.170198864496855	23
2017	4.7	4.9	FALSE	9.600000000000001	-0.16204823549748906	23
2017	4.7	4.3	FALSE	9	-0.48041159202360517	23
2017	5.4	6.5	TRUE	11.9	1.0583446311859526	9
2017	4.5	5.5	FALSE	10	0.05019400218658709	15
2017	5.4	6	TRUE	11.4	0.7930418340808565	20
2017	4.9	6	TRUE	10.9	0.5277390369757603	9
2017	4.5	7.1	TRUE	11.6	0.8991629529228945	20
2017	6.9	6.5	TRUE	13.4	1.854253022501241	4
2017	3.5	4.1	FALSE	7.6	-1.2232594239178745	21
2017	5.2	5.3	FALSE	10.5	0.3154967992916832	3
