Year	Candidate	College	BMAT_Section_1	BMAT_Section_2	Offer	BMAT_all	Candidate_ID
2017	100454	Fitzwilliam	5.2	4.7	FALSE	9.9	453
2017	100455	Fitzwilliam	4.3	6	FALSE	10.3	454
2017	100456	Fitzwilliam	4.3	6	TRUE	10.3	455
2017	100457	Fitzwilliam	5.9	4.9	FALSE	10.8	456
2017	100458	Girton	4.7	4.3	FALSE	9	457
2017	100459	Homerton	4.7	5.5	FALSE	10.2	458
2017	100460	Jesus	5.4	5.1	FALSE	10.5	459
2017	100461	Jesus	4.9	5.3	TRUE	10.2	460
2017	100462	Jesus	4.9	6	FALSE	10.9	461
2017	100463	Jesus	4.9	5.5	FALSE	10.4	462
2017	100464	King's	4.5	4.9	FALSE	9.4	463
2017	100465	King's	4.3	3.4	FALSE	7.699999999999999	464
2017	100466	King's	4.7	4.7	FALSE	9.4	465
2017	100467	King's	5.4	4.9	FALSE	10.3	466
2017	100468	Magdalene	4.5	5.3	FALSE	9.8	467
2017	100469	Magdalene	4.7	5.7	TRUE	10.4	468
2017	100470	Newnham	4.9	5.3	FALSE	10.2	469
2017	100471	Pembroke	5.6	5.1	TRUE	10.7	470
2017	100472	Pembroke	6.1	6.2	TRUE	12.3	471
2017	100473	Queens'	5.4	6	FALSE	11.4	472
2017	100474	Queens'	3	4.5	FALSE	7.5	473
2017	100475	Queens'	4.9	5.7	TRUE	10.600000000000001	474
2017	100476	Queens'	5.6	6.7	TRUE	12.3	475
2017	100477	Robinson	5.6	6.7	TRUE	12.3	476
2017	100478	Robinson	4.9	4.7	FALSE	9.600000000000001	477
2017	100479	St Catharine's	6.1	6	FALSE	12.1	478
2017	100480	St Catharine's	5.4	4.5	FALSE	9.9	479
2017	100481	St Catharine's	4.7	4.7	FALSE	9.4	480
2017	100482	St Catharine's	6.3	5.1	FALSE	11.399999999999999	481
2017	100483	St Catharine's	4.7	4.5	FALSE	9.2	482
2017	100484	St Catharine's	3.5	3.9	FALSE	7.4	483
2017	100485	St Catharine's	4.9	5.1	FALSE	10	484
2017	100486	Sidney Sussex	4	5.5	FALSE	9.5	485
2017	100487	Sidney Sussex	3.8	3.9	FALSE	7.699999999999999	486
2017	100488	Trinity Hall	4.7	5.5	FALSE	10.2	487
2017	100489	Newnham	5.6	5.3	TRUE	10.899999999999999	488
2017	100490	Girton	6.1	6	FALSE	12.1	489
2017	100491	Robinson	7.1	4.9	FALSE	12	490
2017	100492	Girton	6.9	9	TRUE	15.9	491
2017	100493	Girton	4.9	6.2	FALSE	11.100000000000001	492
2017	100494	Peterhouse	5.6	3.9	FALSE	9.5	493
2017	100495	Murray Edwards	5.9	4.5	FALSE	10.4	494
2017	100496	Murray Edwards	3	2.9	FALSE	5.9	495
2017	100497	Robinson	4.9	4.9	FALSE	9.8	496
2017	100498	Trinity Hall	5.2	5.5	FALSE	10.7	497
2017	100499	Magdalene	4.7	4.5	TRUE	9.2	498
2017	100500	Magdalene	4.5	4.9	FALSE	9.4	499
